x,y
0.019367752455725053,10
0.06335335766715919,90
0.07286171746005608,110
0.149259992229417,130
0.40013535550194135,150
0.6277725549419834,210
0.8758462110306242,250
1.545657607556214,270
2.399620275242326,310
2.968674271181977,390
3.968469627586743,410
5.997931532301399,430
7.400139063055989,490
8.823579350612324,550
10.142339846453087,590
12.381411827332022,610
14.47113770406159,650
16.85402111768394,690
19.234786326858092,730
22.0890531884377,770
24.299633944505253,810
25.97353957314972,850
27.117233883125312,890
29.98373640169963,930
31.91831998973975,970
33.54433916370344,1030
37.91521814826749,1050
40.709032696537655,1090
43.70028779713208,1150
45.04105568421636,1190
45.239651822202354,1230
50.218632835655754,1270
49.23524198749463,1290
46.623317942559275,1330
49.02901905401748,1370
51.1410217302948,1410
54.00640846103466,1450
54.12360293372888,1490
53.82060376952309,1530
60.46883775336906,1570
64.82159681022478,1610
64.27546363003455,1650
65.33594577472752,1690
67.41614728925677,1730
61.3308337236649,1770
54.05915055990174,1810
55.71423034859027,1850
57.86263803893387,1890
65.82515513306957,1910
78.22766949000552,1970
80.23816824650636,2030
74.82410124451064,2050
67.75367640419961,2090
65.98435250211503,2130
62.773081336513926,2170
62.675933984518814,2210
72.22769649351979,2250
81.64774257964844,2290
89.63881992459267,2330
86.31948851830182,2390
87.74088327476677,2410
81.4187109487942,2450
100.84985424295945,2490
