x,y
0.015914234151554633,1
0.02919646245708786,63
0.13707390941987455,133
0.22099565177088312,197
0.30542109156677183,265
0.3691171682388534,329
0.41395249861355343,393
0.4392955233968122,461
0.4707788561336814,523
0.5248797087651191,587
0.5934241031606835,651
0.642247113728314,715
0.6627959533250328,783
0.6746589747305886,843
0.6978325426472961,907
0.7395811307621212,973
0.8094221247186939,1035
0.8853818360783253,1097
0.9701523815821946,1165
1.016914887669238,1227
1.020632321673422,1291
1.0343750905428586,1355
1.1137394478385543,1421
1.2473650603818494,1483
1.3721079183333749,1547
1.4141606712079302,1613
1.4094456196487897,1673
1.4312319736270318,1739
1.5041304218258569,1805
1.6001539386176724,1867
1.6541699185802765,1929
1.699784498115503,1993
1.7384326591574526,2059
1.8184665599767977,2121
1.9140928985892325,2187
2.0599089009617386,2251
2.1976593310232713,2315
2.2098101836248563,2377
2.1891234637887558,2443
2.2398695794181123,2509
2.4201480290217035,2569
2.6910506576534265,2635
2.8216960677311542,2697
2.819417822538307,2763
2.8421828280253494,2827
2.8998000774645964,2891
2.9712106422915587,2957
3.0300471121172743,3017
3.1206761210799048,3085
3.2665501736321163,3147
3.4076895055544423,3209
3.534027999603754,3275
3.6424750123923193,3337
3.7403401126366425,3401
3.878775101827163,3465
4.164568458054368,3531
4.5175063195532505,3595
4.567466838335644,3655
4.428810519321055,3723
4.409068260231927,3787
4.5338139312837,3853
4.878966434442022,3917
5.224355325094621,3977
5.336197529696711,4041
5.251621308961234,4107
5.172320173268403,4171
5.246922038391697,4233
5.6477012488381995,4297
6.150800481754818,4363
6.553113921466752,4425
6.3109456919965545,4489
5.963670346774412,4557
6.167090454255134,4623
6.728117976795221,4685
7.201144367095334,4745
6.931347153011974,4809
6.690336448568484,4875
6.857910669846565,4939
7.682322180332846,5001
8.358840710416262,5067
8.210409312845249,5131
7.71220561347629,5195
7.737112384291188,5257
8.313176718371828,5319
8.57659708558586,5387
8.696495518741123,5449
8.936877575569858,5513
9.256417778302126,5577
9.509542865208378,5645
10.21521018345836,5703
11.023301942020634,5769
11.185816920506825,5833
11.369884023632661,5899
11.922165934159871,5961
12.320272134664776,6029
11.505874783418182,6087
10.780666364652653,6153
10.779211931941202,6219
11.376363886343782,6277
11.965938176545018,6345
12.251530672913667,6411
12.862419788903514,6473
13.244228048098295,6539
13.728690873919465,6603
14.067947925881052,6665
14.417874906865322,6727
15.732173848006989,6791
16.572816111038577,6857
15.2077502744154,6921
14.429276293147836,6983
15.456414951159934,7051
16.29343570372585,7113
16.89688585344684,7179
15.90765846408572,7241
15.23704861523742,7303
16.836038951363857,7367
16.904159301868418,7431
18.122065049947473,7497
18.7785034738807,7561
19.465926786985026,7625
18.596406634064042,7691
17.93566186716859,7753
18.43860677772224,7815
19.1745737000594,7881
19.973884644421656,7945
18.816342892075305,8009
19.467670000643785,8075
21.130945911890937,8135
23.119201662489534,8197
21.254918873569217,8265
21.553421134452186,8327
21.210407245601658,8391
21.22957159284167,8459
20.617871121416172,8521
22.451466199424527,8589
25.220484106721464,8647
24.31800576842764,8715
24.182904068316734,8777
24.969083838933663,8837
23.07303478109828,8905
26.21089908521871,8967
26.412350673391995,9031
27.119871644848587,9095
28.94804476392844,9159
28.01021917456531,9223
28.736423799164378,9293
29.70470816223149,9351
29.910482371487415,9415
29.549564609772542,9483
32.49945686348619,9543
30.995068720776413,9607
30.566069506866512,9677
29.446202176576325,9735
27.459128018483742,9803
32.97165128841377,9867
32.238202464233794,9931
33.65395939125519,9993
34.89894357862334,10055
34.958308068864994,10117
34.90724477039591,10181
36.4939141156117,10247
36.73171388095979,10311
38.29552913087003,10377
36.58551858125505,10441
32.59407834511942,10507
34.9080347877997,10571
38.995639290484895,10637
38.40789454905509,10699
34.65421202075102,10763
35.549085843092,10823
35.25779132788445,10889
40.5015541248496,10953
39.93371445141924,11017
39.69846946699568,11081
41.03364196303717,11145
42.94433508286475,11209
37.32596392361137,11269
41.75469878720303,11331
44.176961735997914,11397
46.04368566113883,11461
48.17507643003049,11527
40.22733965988518,11587
44.61879196893709,11651
43.8535810984019,11719
44.55272564380848,11787
41.034093307435576,11847
43.075233073135976,11911
50.71409663199977,11979
49.50186094935325,12041
43.54818367456875,12101
49.63679352392844,12171
41.12145079309863,12235
41.672168176227416,12299
54.46274412037456,12359
39.70761901680058,12421
47.33172603734759,12487
51.10025006939854,12549
40.292999278956906,12613
44.52176428324115,12677
40.57740400266013,12741
39.86991804150821,12809
41.15863280069049,12867
49.14197115018622,12933
49.252069980138465,12999
41.010110174644744,13069
45.393504130197186,13131
