x,y
0.019367752455725053,1
0.06335335766715919,9
0.07286171746005608,11
0.149259992229417,13
0.40013535550194135,15
0.6277725549419834,21
0.8758462110306242,25
1.545657607556214,27
2.399620275242326,31
2.968674271181977,39
3.968469627586743,41
5.997931532301399,43
7.400139063055989,49
8.823579350612324,55
10.142339846453087,59
12.381411827332022,61
14.47113770406159,65
16.85402111768394,69
19.234786326858092,73
22.0890531884377,77
24.299633944505253,81
25.97353957314972,85
27.117233883125312,89
29.98373640169963,93
31.91831998973975,97
33.54433916370344,103
37.91521814826749,105
40.709032696537655,109
43.70028779713208,115
45.04105568421636,119
45.239651822202354,123
50.218632835655754,127
49.23524198749463,129
46.623317942559275,133
49.02901905401748,137
51.1410217302948,141
54.00640846103466,145
54.12360293372888,149
53.82060376952309,153
60.46883775336906,157
64.82159681022478,161
64.27546363003455,165
65.33594577472752,169
67.41614728925677,173
61.3308337236649,177
54.05915055990174,181
55.71423034859027,185
57.86263803893387,189
65.82515513306957,191
78.22766949000552,197
80.23816824650636,203
74.82410124451064,205
67.75367640419961,209
65.98435250211503,213
62.773081336513926,217
62.675933984518814,221
72.22769649351979,225
81.64774257964844,229
89.63881992459267,233
86.31948851830182,239
87.74088327476677,241
81.4187109487942,245
100.84985424295945,249
